epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,193.11,1.54326,2.46244,0.96712,1.55025,0,0.85505,0.87037,0.91583,0.45568,0.48399,0.46296,0.37027,0.1571,1.71841,3.74735,0.94429,1.84192,0,0.000887934,0.000295978,0.000887934,0.000295978,0.000887934,0.000295978,0.000887934,0.000295978
85,195.099,1.63802,2.47057,0.94672,1.54856,0,0.85505,0.87037,0.91583,0.45568,0.48399,0.46296,0.37027,0.1571,1.71841,3.74735,0.94429,1.84192,0,0.000848736,0.000282912,0.000848736,0.000282912,0.000848736,0.000282912,0.000848736,0.000282912
86,197.12,1.47527,2.43995,0.93522,1.53935,0,0.85505,0.87037,0.91583,0.45568,0.48399,0.46296,0.37027,0.1571,1.71841,3.74735,0.94429,1.84192,0,0.00080835,0.00026945,0.00080835,0.00026945,0.00080835,0.00026945,0.00080835,0.00026945
87,199.279,1.58041,2.53969,0.96099,1.64611,0,0.85505,0.87037,0.91583,0.45568,0.48399,0.46296,0.37027,0.1571,1.71841,3.74735,0.94429,1.84192,0,0.000766776,0.000255592,0.000766776,0.000255592,0.000766776,0.000255592,0.000766776,0.000255592
88,201.743,1.65222,2.72388,1.1181,1.60219,0,0.86391,0.87037,0.92342,0.4742,0.46112,0.46296,0.37156,0.15028,1.68836,3.732,0.92725,1.85537,0,0.000724014,0.000241338,0.000724014,0.000241338,0.000724014,0.000241338,0.000724014,0.000241338
89,203.818,1.40801,2.33604,0.92305,1.49765,0,0.86391,0.87037,0.92342,0.4742,0.46112,0.46296,0.37156,0.15028,1.68836,3.732,0.92725,1.85537,0,0.000680064,0.000226688,0.000680064,0.000226688,0.000680064,0.000226688,0.000680064,0.000226688
90,205.876,1.32761,2.06168,0.90835,1.45208,0,0.86391,0.87037,0.92342,0.4742,0.46112,0.46296,0.37156,0.15028,1.68836,3.732,0.92725,1.85537,0,0.000634926,0.000211642,0.000634926,0.000211642,0.000634926,0.000211642,0.000634926,0.000211642
91,207.968,1.77195,2.75529,1.34823,1.61539,0,0.86391,0.87037,0.92342,0.4742,0.46112,0.46296,0.37156,0.15028,1.68836,3.732,0.92725,1.85537,0,0.0005886,0.0001962,0.0005886,0.0001962,0.0005886,0.0001962,0.0005886,0.0001962
92,210.223,2.17489,2.94718,1.54507,1.66412,0,0.84042,0.87784,0.92122,0.48392,0.44692,0.46296,0.35905,0.14688,1.67712,3.67395,0.88262,1.85357,0,0.000541086,0.000180362,0.000541086,0.000180362,0.000541086,0.000180362,0.000541086,0.000180362
93,212.232,1.79943,2.85989,1.37828,1.61302,0,0.84042,0.87784,0.92122,0.48392,0.44692,0.46296,0.35905,0.14688,1.67712,3.67395,0.88262,1.85357,0,0.000492384,0.000164128,0.000492384,0.000164128,0.000492384,0.000164128,0.000492384,0.000164128
